username: usuario1
password: pollo
 

username: usuario2
password: gato
 

username: usuario3
password: grulla
 

username: usuario4
password: bisonte
 

username: usuario5
password: camello
 

username: usuario6
password: cucaracha
 

username: usuario7
password: castor
 

username: usuario8
password: gamuza
 

username: usuario9
password: chinche
 

username: usuario10
password: carpa
 

username: usuario11
password: gallo
 

username: usuario12
password: mariposa
 

username: usuario13
password: ternero
 

username: usuario14
password: toro
 

username: usuario15
password: antilope
 

username: usuario16
password: abeja
 

