username: usuario1
password: toro
 

username: usuario2
password: gallina
 

username: usuario3
password: lagarto
 

username: usuario4
password: arenque
 

username: usuario5
password: mosquito
 

username: usuario6
password: cobaya
 

username: usuario7
password: paloma
 

username: usuario8
password: chinche
 

username: usuario9
password: erizo
 

username: usuario10
password: zorro
 

username: usuario11
password: langosta
 

username: usuario12
password: potro
 

username: usuario13
password: cangrejo
 

username: usuario14
password: pollo
 

username: usuario15
password: hiena
 

username: usuario16
password: abeja
 

username: usuario17
password: gato
 

username: usuario18
password: gallo
 

username: usuario19
password: cabra
 

username: usuario20
password: bisonte
 

username: usuario21
password: ternero
 

username: usuario22
password: rana
 

username: usuario23
password: alferraz
 

username: usuario24
password: burro
 

username: usuario25
password: colibri
 

username: usuario26
password: piojo
 

username: usuario27
password: canguro
 

username: usuario28
password: camello
 

username: usuario29
password: ciervo
 

username: usuario30
password: gaviota
 

username: usuario31
password: mosca
 

username: usuario32
password: caballo
 

username: usuario33
password: gamuza
 

username: usuario34
password: oca
 

username: usuario35
password: grulla
 

username: usuario36
password: gorila
 

username: usuario37
password: jaguar
 

username: usuario38
password: jirafa
 

username: usuario39
password: mariposa
 

username: usuario40
password: carpa
 

username: usuario41
password: cocodrilo
 

username: usuario42
password: perro
 

username: usuario43
password: cabrito
 

username: usuario44
password: elefante
 

username: usuario45
password: cucaracha
 

username: usuario46
password: castor
 

username: usuario47
password: chacal
 

username: usuario48
password: bogavante
 

username: usuario49
password: antilope
 

username: usuario50
password: medusa
 

